season,week,seasonType,homeTeam,awayTeam,outlet,startTime
2023,1,regular,Vanderbilt,Hawai'i,SECN,2023-08-26T23:30:00.000Z
2023,1,regular,USC,San José State,PAC12,2023-08-27T00:00:00.000Z
2023,1,regular,Notre Dame,Navy,NBC,2023-08-26T18:30:00.000Z
2023,1,regular,New Mexico State,UMass,ESPN,2023-08-26T23:00:00.000Z
2023,1,regular,San Diego State,Ohio,FS1,2023-08-26T23:00:00.000Z
2023,1,regular,Jacksonville State,UTEP,CBSSN,2023-08-26T21:30:00.000Z
2023,1,regular,Louisiana Tech,Florida International,CBSSN,2023-08-27T01:00:00.000Z
2023,1,regular,Minnesota,Nebraska,FOX,2023-09-01T00:00:00.000Z
2023,1,regular,Arizona State,Southern Utah,PAC12,2023-09-01T02:00:00.000Z
2023,1,regular,Wake Forest,Elon,ACCN,2023-08-31T23:00:00.000Z
2023,1,regular,Kansas,Missouri State,BIG12|ESPN+,2023-09-02T00:00:00.000Z
2023,1,regular,UCF,Kent State,FS1,2023-08-31T23:00:00.000Z
2023,1,regular,UAB,North Carolina A&T,ESPN+,2023-09-01T00:00:00.000Z
2023,1,regular,Michigan,East Carolina,Peacock,2023-09-02T16:00:00.000Z
2023,1,regular,Michigan State,Central Michigan,FS1,2023-09-01T23:00:00.000Z
2023,1,regular,Mississippi State,Southeastern Louisiana,SECN,2023-09-02T20:00:00.000Z
2023,1,regular,New Mexico State,Western Illinois,ESPN+,2023-09-03T01:00:00.000Z
2023,3,regular,Iowa,Western Michigan,BTN,2023-09-16T19:30:00.000Z
2023,3,regular,Kentucky,Akron,ESPNU,2023-09-16T23:30:00.000Z
2023,3,regular,Louisiana Tech,North Texas,ESPN+,2023-09-16T23:00:00.000Z
2023,3,regular,Maryland,Virginia,FS1,2023-09-15T23:00:00.000Z
2023,3,regular,Michigan,Bowling Green,BTN,2023-09-16T23:30:00.000Z
2023,3,regular,Michigan State,Washington,Peacock,2023-09-16T21:00:00.000Z
2023,3,regular,Missouri,Kansas State,SECN,2023-09-16T16:00:00.000Z
2023,3,regular,Nebraska,Northern Illinois,FS1,2023-09-16T23:00:00.000Z
2023,3,regular,Ohio State,Western Kentucky,FOX,2023-09-16T20:00:00.000Z
2023,3,regular,Ole Miss,Georgia Tech,SECN,2023-09-16T23:30:00.000Z
2023,3,regular,Rutgers,Virginia Tech,BTN,2023-09-16T19:30:00.000Z
2023,3,regular,UNLV,Vanderbilt,CBSSN,2023-09-16T23:00:00.000Z
2023,3,regular,Wisconsin,Georgia Southern,BTN,2023-09-16T16:00:00.000Z
2023,4,regular,Coastal Carolina,Georgia State,ESPN,2023-09-21T23:30:00.000Z
2023,4,regular,Fresno State,Kent State,CBSSN,2023-09-24T02:30:00.000Z
2023,4,regular,San José State,Air Force,FS1,2023-09-23T02:30:00.000Z
2023,4,regular,Florida,Charlotte,SECN+,2023-09-23T23:00:00.000Z
2023,4,regular,Florida,Charlotte,ESPN+,2023-09-23T23:00:00.000Z
2023,5,regular,Air Force,San Diego State,CBSSN,2023-10-01T00:00:00.000Z
2023,5,regular,Connecticut,Utah State,CBSSN,2023-09-30T16:00:00.000Z
2023,6,regular,Middle Tennessee,Jacksonville State,ESPNU,2023-10-05T00:00:00.000Z
2023,6,regular,New Mexico State,Florida International,CBSSN,2023-10-05T01:00:00.000Z
2023,6,regular,Louisiana Tech,Western Kentucky,ESPNU,2023-10-06T00:00:00.000Z
2023,6,regular,Liberty,Sam Houston State,CBSSN,2023-10-05T23:00:00.000Z
2023,6,regular,Oklahoma State,Kansas State,ESPN,2023-10-06T23:30:00.000Z
2023,6,regular,Army,Boston College,CBSSN,2023-10-07T16:00:00.000Z
2023,9,regular,Florida,Georgia,CBS,2023-10-28T19:30:00.000Z
2023,9,regular,Notre Dame,Pittsburgh,NBC,2023-10-28T19:30:00.000Z
2023,10,regular,Troy,South Alabama,ESPN2,2023-11-02T23:30:00.000Z
2023,10,regular,Syracuse,Boston College,ESPN2,2023-11-03T23:30:00.000Z
2023,10,regular,Air Force,Army,CBSSN,2023-11-04T18:30:00.000Z
2023,10,regular,Liberty,Louisiana Tech,CBSSN,2023-11-04T22:00:00.000Z
2023,10,regular,Clemson,Notre Dame,ABC,2023-11-04T04:00:00.000Z
2023,10,regular,Fresno State,Boise State,CBSSN,2023-11-05T02:00:00.000Z
2023,10,regular,Wyoming,Colorado State,CBSSN,2023-11-04T00:00:00.000Z
2023,13,regular,Michigan State,Penn State,NBC,2023-11-25T00:30:00.000Z
2023,1,regular,Georgia State,Rhode Island,ESPN+,2023-08-31T23:00:00.000Z
2023,2,regular,Kansas,Illinois,ESPN2,2023-09-08T23:30:00.000Z
2023,3,regular,Boise State,North Dakota,FS1,2023-09-16T16:00:00.000Z
2023,3,regular,Arizona,UTEP,PAC12,2023-09-17T03:00:00.000Z
2023,3,regular,Auburn,Samford,SECN+,2023-09-16T23:30:00.000Z
2023,3,regular,Auburn,Samford,ESPN+,2023-09-16T23:30:00.000Z
2023,3,regular,Buffalo,Liberty,CBSSN,2023-09-16T16:00:00.000Z
2023,3,regular,Georgia,South Carolina,CBS,2023-09-16T19:30:00.000Z
2023,4,regular,Virginia,NC State,ESPN,2023-09-22T23:30:00.000Z
2023,4,regular,San Diego State,Boise State,CBSSN,2023-09-23T02:30:00.000Z
2023,4,regular,Purdue,Wisconsin,FS1,2023-09-22T23:00:00.000Z
2023,5,regular,Tulsa,Temple,ESPN,2023-09-28T23:30:00.000Z
2023,5,regular,Western Kentucky,Middle Tennessee,CBSSN,2023-09-28T23:30:00.000Z
2023,5,regular,Oregon State,Utah,FS1,2023-09-30T01:00:00.000Z
2023,5,regular,NC State,Louisville,ESPN,2023-09-29T23:00:00.000Z
2023,5,regular,UTEP,Louisiana Tech,CBSSN,2023-09-30T01:00:00.000Z
2023,7,regular,Utah State,Fresno State,CBSSN,2023-10-14T00:00:00.000Z
2023,11,regular,Navy,UAB,CBSSN,2023-11-11T20:30:00.000Z
2023,11,regular,San José State,Fresno State,CBSSN,2023-11-12T03:30:00.000Z
2023,11,regular,UNLV,Wyoming,FS1,2023-11-11T03:45:00.000Z
2023,13,regular,New Mexico,Utah State,CBSSN,2023-11-24T20:30:00.000Z
2023,13,regular,Nevada,Wyoming,CBSSN,2023-11-26T02:00:00.000Z
2023,13,regular,Arkansas,Missouri,CBS,2023-11-24T21:00:00.000Z
2023,13,regular,Michigan,Ohio State,FOX,2023-11-25T17:00:00.000Z
2023,13,regular,UTEP,Liberty,CBSSN,2023-11-25T20:30:00.000Z
2023,15,regular,Army,Navy,CBS,2023-12-09T20:00:00.000Z
2023,1,regular,Western Michigan,St Francis (PA),ESPN+,2023-08-31T23:00:00.000Z
2023,1,regular,Connecticut,NC State,CBSSN,2023-08-31T23:30:00.000Z
2023,1,regular,Missouri,South Dakota,SECN,2023-09-01T00:00:00.000Z
2023,1,regular,Utah,Florida,ESPN,2023-09-01T00:00:00.000Z
2023,1,regular,Tulsa,Arkansas-Pine Bluff,ESPN+,2023-09-01T00:00:00.000Z
2023,1,regular,Eastern Michigan,Howard,ESPN+,2023-09-01T22:30:00.000Z
2023,1,regular,Miami,Miami (OH),ACCN,2023-09-01T23:00:00.000Z
2023,1,regular,Georgia Tech,Louisville,ESPN,2023-09-01T23:30:00.000Z
2023,1,regular,Hawai'i,Stanford,CBSSN,2023-09-02T03:00:00.000Z
2023,1,regular,Iowa,Utah State,FS1,2023-09-02T16:00:00.000Z
2023,1,regular,Kentucky,Ball State,SECN,2023-09-02T16:00:00.000Z
2023,1,regular,Liberty,Bowling Green,CBSSN,2023-09-02T16:00:00.000Z
2023,1,regular,Purdue,Fresno State,BTN,2023-09-02T16:00:00.000Z
2023,1,regular,SMU,Louisiana Tech,ESPNU,2023-09-02T16:00:00.000Z
2023,1,regular,Tennessee,Virginia,ABC,2023-09-02T16:00:00.000Z
2023,1,regular,TCU,Colorado,FOX,2023-09-02T16:00:00.000Z
2023,1,regular,Boston College,Northern Illinois,ACCN,2023-09-02T16:00:00.000Z
2023,1,regular,Oklahoma,Arkansas State,ESPN,2023-09-02T16:00:00.000Z
2023,1,regular,Ole Miss,Mercer,SECN+,2023-09-02T18:00:00.000Z
2023,1,regular,Ole Miss,Mercer,ESPN+,2023-09-02T18:00:00.000Z
2023,1,regular,Iowa State,Northern Iowa,BIG12|ESPN+,2023-09-02T18:00:00.000Z
2023,1,regular,Temple,Akron,ESPN+,2023-09-02T18:00:00.000Z
2023,1,regular,Ohio,Long Island University,ESPN+,2023-09-02T18:00:00.000Z
2023,1,regular,Oregon,Portland State,PAC12,2023-09-02T19:00:00.000Z
2023,1,regular,Indiana,Ohio State,CBS,2023-09-02T19:30:00.000Z
2023,1,regular,Auburn,UMass,ESPN,2023-09-02T19:30:00.000Z
2023,1,regular,Maryland,Towson,BTN,2023-09-02T19:30:00.000Z
2023,1,regular,Wisconsin,Buffalo,FS1,2023-09-02T19:30:00.000Z
2023,1,regular,Western Kentucky,South Florida,CBSSN,2023-09-02T19:30:00.000Z
2023,1,regular,Washington,Boise State,ABC,2023-09-02T19:30:00.000Z
2023,1,regular,Notre Dame,Tennessee State,NBC,2023-09-02T19:30:00.000Z
